Date,Open,High,Low,Close,Volume,Adj Close
2014-11-18,83.50,83.92,83.34,83.79,6096400,82.82701
2014-11-17,82.58,83.72,82.53,83.57,7993300,82.60954
2014-11-14,82.58,83.15,82.10,82.96,10634000,82.00655
2014-11-13,80.96,83.06,80.86,82.94,22805800,81.98678
2014-11-12,78.83,79.44,78.65,79.20,6791200,78.28976
2014-11-11,79.40,79.42,78.85,79.01,5602400,78.10194
2014-11-10,78.60,80.13,78.42,79.44,12640500,78.52701
2014-11-07,77.84,79.08,77.61,78.77,9498800,77.8647
2014-11-06,78.15,78.18,77.17,77.81,4621900,76.91573
2014-11-05,77.87,78.23,77.30,77.70,5673800,76.807
2014-11-04,76.49,77.37,76.28,77.26,6904900,76.37206
2014-11-03,76.35,76.38,75.59,76.28,6894400,75.40332
2014-10-31,76.89,77.40,76.01,76.27,7570700,75.39343
2014-10-30,76.17,76.60,75.98,76.45,4872400,75.57137
2014-10-29,76.55,76.64,75.97,76.39,5759700,75.51205
2014-10-28,76.63,76.80,76.00,76.35,4979600,75.47251
2014-10-27,76.33,76.98,76.31,76.59,4107400,75.70975
2014-10-24,76.13,76.50,75.50,76.38,4479600,75.50217
2014-10-23,76.37,76.65,75.78,76.25,6367100,75.37366
2014-10-22,76.47,76.66,76.01,76.03,5927600,75.1562
2014-10-21,75.18,76.20,75.01,76.02,8299700,75.14631
2014-10-20,74.14,75.22,73.92,75.14,7040700,74.27642
2014-10-17,74.18,74.50,73.03,74.10,11462300,73.24837
2014-10-16,73.23,74.07,72.61,73.82,14346600,72.9716
2014-10-15,77.58,77.69,74.36,75.20,21057700,74.33573
2014-10-14,77.83,78.63,77.67,77.98,7901100,77.08379
2014-10-13,78.03,78.58,77.45,77.56,8201200,76.66861
2014-10-10,77.93,79.37,77.93,78.29,10078000,77.39022
2014-10-09,78.11,78.83,77.66,77.86,7072700,76.96516
2014-10-08,77.41,78.49,76.81,78.24,8107100,77.34079
2014-10-07,77.03,77.69,76.72,77.30,7059900,76.4116
2014-10-06,77.05,77.92,76.99,77.35,5429700,76.46102
2014-10-03,76.57,77.48,76.53,77.32,5819700,76.43137
2014-10-02,76.21,76.91,75.96,76.23,4921200,75.3539
2014-10-01,76.51,76.86,75.91,76.12,6524900,75.24516
2014-09-30,76.04,76.72,75.77,76.47,5640700,75.59114
2014-09-29,76.06,76.25,75.65,76.08,4959300,75.20562
2014-09-26,76.25,76.57,75.86,76.49,3752900,75.61091
2014-09-25,76.93,77.05,76.12,76.12,4963500,75.24516
2014-09-24,75.73,77.31,75.70,77.08,8434600,76.19413
2014-09-23,76.00,76.22,75.57,75.60,6708000,74.73113
2014-09-22,76.79,76.86,76.25,76.31,4450700,75.43298
2014-09-19,76.45,77.07,76.38,76.84,13323500,75.95688
2014-09-18,76.31,76.58,75.91,76.22,4751700,75.34401
2014-09-17,76.36,76.47,76.01,76.24,4239000,75.36378
2014-09-16,75.64,76.57,75.60,76.32,4109500,75.44286
2014-09-15,75.78,75.89,75.61,75.81,3748500,74.93872
2014-09-12,75.97,76.05,75.66,75.77,5693800,74.89918
2014-09-11,76.35,76.44,76.09,76.10,4953300,75.22539
2014-09-10,76.79,77.08,76.37,76.51,6697100,75.63068
2014-09-09,76.56,77.00,76.17,76.74,5632000,75.85803
